"time","I.pob","R.pob","S.pob","dia"
0,1,0,999,0
0.2,1.052687514458787,0.02931832246355928,998.9179941630778,0.2
0.4,1.108142254099134,0.0601805277691318,998.8316772181319,0.4
0.6,1.166509971839716,0.09266837693827215,998.7408216512221,0.6
0.8,1.227943554159599,0.1268676828220101,998.6451887630184,0.8
1,1.292602724705771,0.1628681441906891,998.5445291311036,1
1.2,1.360655318537213,0.2007640738650155,998.4385806075979,1.2
1.4,1.432278151861394,0.2406548976999352,998.3270669504388,1.4
1.6,1.507657178274075,0.2826452539465786,998.2096975677794,1.6
1.8,1.586987554258926,0.3268450359641015,998.0861674097771,1.8
2,1.670475266371824,0.3733703247964735,997.9561544088317,2
2.2,1.758336286427646,0.4223429293606303,997.8193207842118,2.2
2.4,1.850797640166061,0.4738909962687445,997.6753113635654,2.4
2.6,1.94809805541395,0.5281494044739858,997.5237525401121,2.6
2.8,2.050488290829752,0.5852599604287523,997.3642517487417,2.8
3,2.15823194376835,0.6453718836813614,997.1963961725504,3
3.2,2.271605635009621,0.708641918963025,997.0197524460275,3.2
3.4,2.390900223824563,0.7752350689761369,996.8338647071993,3.4
3.6,2.516421274547058,0.8453248825476282,996.6382538429054,3.6
3.8,2.648489519108307,0.9190937423866172,996.4324167385051,3.8
4,2.787441857307631,0.9967334762969253,996.2158246663955,4
4.2,2.933631831602609,1.078445651342044,995.9879225170555,4.2
4.4,3.087431175064752,1.164442540554691,995.7481262843805,4.4
4.6,3.249229623880752,1.254946989777248,995.4958233863421,4.6
4.8,3.419436368735221,1.350193360560064,995.2303702707047,4.8
5,3.598480845263086,1.450428056270275,994.9510910984666,5
5.2,3.78681320245618,1.555909720232694,994.6572770773111,5.2
5.4,3.984906236878166,1.66691066099235,994.3481831021295,5.4
5.6,4.193254940118224,1.783716360258093,994.0230286996236,5.6
5.8,4.412378966574514,1.906627283241553,993.6809937501839,5.8
6,4.642823576095091,2.03595949129662,993.3212169326083,6
6.2,4.885159272056533,2.17204423884199,992.9427964891014,6.2
6.4,5.139984467407174,2.315229997505514,992.5447855350872,6.4
6.6,5.407925385861803,2.465882167080657,992.1261924470574,6.6
6.8,5.689638244217405,2.624384849586703,991.6859769061957,6.8
7,5.985809986287262,2.791141256440167,991.2230487572725,7
7.2,6.297159148375669,2.966574252246946,990.7362665993772,7.2
7.4,6.624438878498099,3.151129096955455,990.2244320245463,7.4
7.6,6.96843575071641,3.345271805714439,989.6862924435691,7.6
7.8,7.329972517887255,3.549491824953747,989.1205356571589,7.8
8,7.709908936178042,3.76430237267214,988.5257886911497,8
8.199999999999999,8.109143112872619,3.990241602078535,987.9006152850488,8.199999999999999
8.4,8.528613149328454,4.227874440276601,987.2435124103949,8.4
8.6,8.969297732699747,4.47779208426407,986.5529101830363,8.6
8.800000000000001,9.432218608993319,4.740615700992348,985.8271656900145,8.800000000000001
9,9.918440957224909,5.016995396815723,985.0645636459594,9
9.199999999999999,10.42907506955262,5.307612555163709,984.2633123752836,9.199999999999999
9.4,10.96527780019587,5.613181815503729,983.4215403843004,9.4
9.6,11.5282537293542,5.93445063832295,982.5372956323229,9.6
9.800000000000001,12.1192551543845,6.272202299606191,981.6085425460094,9.800000000000001
10,12.7395852953398,6.627256041635633,980.6331586630246,10
10.2,13.39059737259918,7.000469096324814,979.6089335310759,10.2
10.4,14.07369561843598,7.392737971335809,978.5335664102281,10.4
10.6,14.79033804227468,7.804999460210019,977.4046624975152,10.6
10.8,15.54203360041204,8.23823377285812,976.21973262673,10.8
11,16.3303470697764,8.693463722828506,974.976189207395,11
11.2,17.15689592330815,9.171758503217953,973.6713455734738,11.2
11.4,18.02335200339692,9.674234668525573,972.3024133280775,11.4
11.6,18.93144309433085,10.20205681724087,970.8665000884282,11.6
11.8,19.88294694066576,10.75644038827221,969.360612671062,11.8
12,20.87969985361114,11.33865248456374,967.7816476618251,12
12.2,21.9235842222247,11.95001255208784,966.1264032256875,12.2
12.4,23.0165347331485,12.59189467298176,964.3915705938698,12.4
12.6,24.1605382906111,13.26572919828252,962.5737325111062,12.6
12.8,25.35762576624038,13.97300330064914,960.6693709331104,12.8
13,26.60987945800403,14.71526319833106,958.6748573436648,13
13.2,27.91941181899727,15.4941145954136,956.586473585589,13.2
13.4,29.28838076881602,16.31122477903419,954.4003944521496,13.4
13.6,30.71897812117497,17.16832317957353,952.1126986992515,13.6
13.8,32.21341762745519,18.06720160616126,949.7193807663836,13.8
14,33.77394880312663,19.00971776518081,947.2163334316925,14
14.2,35.40282145889616,19.99779012320607,944.5993884178976,14.2
14.4,37.10231145916438,21.03340555900461,941.8642829818309,14.4
14.6,38.87469010438436,22.11861424001961,939.0066956555961,14.6
14.8,40.72221516710021,23.25552949209509,936.0222553408046,14.8
15,42.64714495420739,24.44633318547053,932.906521860322,15
15.2,44.65168604356901,25.69326497090527,929.6550489855258,15.2
15.4,46.73803063802719,26.99863367078337,926.2633356911895,15.4
15.6,48.90830624610641,28.36480611538011,922.7268876385135,15.6
15.8,51.16457320865855,29.79420866560224,919.0412181257392,15.8
16,53.50882772014072,31.28933034996898,915.2018419298904,16
16.2,55.94294488711299,32.85270691891817,911.2043481939688,16.2
16.4,58.46871604068438,34.48693682615909,907.0443471331565,16.4
16.6,61.08778305886706,36.19465984934583,902.7175570917871,16.6
16.8,63.80164424625909,37.97856303825652,898.2197927154843,16.8
17,66.61164022989445,39.84137830280641,893.5469814672991,17
17.2,69.51890025128058,41.78586222361162,888.6952375251077,17.2
17.4,72.52437084496313,43.81481499787645,883.6608141571603,17.4
17.6,75.62874545903104,45.93104746413259,878.4402070768363,17.6
17.8,78.8324747903976,48.13739461753704,873.0301305920652,17.8
18,82.13573549318851,50.43670146157482,867.4275630452365,18
18.2,85.53839348132276,52.83180349670428,861.6298030219729,18.2
18.4,89.04000744809474,55.3255441957302,855.634448356175,18.4
18.6,92.63978367864419,57.92073460879738,849.4394817125584,18.6
18.8,96.33656702411393,60.62017247887209,843.0432604970139,18.8
19,100.1288150358644,63.42660897097763,836.444575993158,19
19.2,104.0145772699868,66.3427309838178,829.6426917461953,19.2
19.4,107.9914712864348,69.37118228784882,822.6373464257163,19.4
19.6,112.0566933195955,72.51452359574336,815.4287830846609,19.6
19.8,116.2069544865446,75.77523653108962,808.0178089823656,19.8
20,120.4385251108442,79.15569782423644,800.4057770649193,20
20.2,124.7472123167342,82.65816890358821,792.5946187796776,20.2
20.4,129.1283032197817,86.28479403020968,784.5869027500088,20.4
20.6,133.5766464178553,90.0375631820679,776.385790400077,20.6
20.8,138.0865479937083,93.91832378271666,767.9951282235751,20.8
21,142.6518793752603,97.92874773657945,759.4193728881603,21
21.2,147.2660257986843,102.0703238215724,750.6636503797436,21.2
21.4,151.921876483107,106.3443472548034,741.7337762620898,21.4
21.6,156.6119758168102,110.7519049855883,732.6361191976016,21.6
21.8,161.3283313794211,115.2938582700268,723.3778103505524,21.8
22,166.0626570238366,119.9708433580744,713.9664996180894,22
22.2,170.8062558765472,124.7832476102391,704.410496513214,22.2
22.4,175.5501111395642,129.7312064991383,694.718682361298,22.4
22.6,180.2849459057538,134.8145955311578,684.9004585630888,22.6
22.8,185.0012009763523,140.0330153065267,674.9657837171214,22.8
23,189.6891996223698,145.3858051065581,664.9249952710727,23
23.2,194.339049534992,150.8720072882326,654.7889431767762,23.2
23.4,198.940832059718,156.490403129901,644.5687648103819,23.4
23.6,203.4845407662852,162.2394668213098,634.2759924124061,23.6
23.8,207.9602183018017,168.1174095829429,623.9223721152567,23.8
24,212.3579491080592,174.1221366922015,613.5199141997406,24
24.2,216.667967961562,180.2512873566628,603.0807446817764,24.2
24.4,220.8806859811065,186.5022138635729,592.6171001553219,24.4
24.6,224.9867596070107,192.8719990430383,582.1412413499523,24.6
24.8,228.9771613608588,199.3574706032078,571.6653680359346,24.8
25,232.8432052007955,205.9551880472254,561.2016067519804,25
25.2,236.5766068046467,212.6614919924833,550.7619012028715,25.2
25.4,240.1695499611122,219.472468497323,540.3579815415662,25.4
25.6,243.6146501661093,226.3840118464138,530.0013379874783,25.6
25.8,246.9051086082349,233.3917914820015,519.7030999097651,25.8
26,250.034600117203,240.4913073146044,509.4740925681939,26
26.2,252.997444512694,247.6778709701998,499.3246845171072,26.2
26.4,255.7885195786233,254.9466491958082,489.2648312255693,26.4
26.6,258.403344278477,262.2926654536725,479.3039902678512,26.6
26.8,260.8380716619529,269.7108238241495,469.4511045138981,26.8
27,263.0894793051269,277.1959341284514,459.7145865664223,27
27.2,265.1550263492641,284.7427155995316,450.1022580512047,27.2
27.4,267.0327431406731,292.3458343804689,440.6214224788584,27.4
27.6,268.7213714554292,299.9999050939226,431.2787234506488,27.6
27.8,270.2201698192355,307.6995139845311,422.0803161962338,27.8
